Application,Status,Radar Segment,Impacted by Phoenix,Primary CGL,Original Environment (column to be deleted),Environment,Location,Function,Function Description,Category,AI Enabled,Platform Description,Retirement (This column to be deleted),Lifecycle,Trajectory,Action,Initial Action Timeline,Complete Action Timeline,Bridge Required ,New Platform,New Sub-Module/Application,Comments,Solution Details,Primary SI,Primary Architect,App Owner,Original Tab (for reference),"Found in ""Enterprise Application Inventory""","Found in ""Application Inventory SharePoint""?"
KerfBuild,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Jeff Stamm,"Enterprise, Manufacturing, R&D, Technology & IT",,
KerfFTPUtil,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,David Collins/Jeff Stamm,"Enterprise, Manufacturing, R&D, Technology & IT",,
Kerfload,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Jeff Stamm,"Enterprise, Manufacturing, R&D, Technology & IT",,
KerfMerge,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Jeff Stamm,"Enterprise, Manufacturing, R&D, Technology & IT",,
KerfWeb,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Jeff Stamm,"Enterprise, Manufacturing, R&D, Technology & IT",,
Legacy DSDP,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Bash Scripts,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
LineScheduler,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
LMS Automation,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
Mail Service,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,DE-IT: HUANG ZuXing,"Enterprise, Manufacturing, R&D, Technology & IT",,
MANTIS Notification System,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,TOC: Jackie HII & DSA: QUEK Shyue Fong,"Enterprise, Manufacturing, R&D, Technology & IT",,
Mantis3 DMACS,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,McGowan/Stephen Beebe,"Enterprise, Manufacturing, R&D, Technology & IT",,
Mantis3 Fab9/10,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Greg Freemen/Gary Milo/Casey,"Enterprise, Manufacturing, R&D, Technology & IT",,
Mantis3 Opc Metrology,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,YeeMei / Shao Wen,"Enterprise, Manufacturing, R&D, Technology & IT",,
Mantis3 PreWRB,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,WRB,"Enterprise, Manufacturing, R&D, Technology & IT",,
MarkPick,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Mask Release System (MRS) Intergration,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,CAS: QUEK Shyue Fong,"Enterprise, Manufacturing, R&D, Technology & IT",,
Mask Set Title PN,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,,"Enterprise, Manufacturing, R&D, Technology & IT",,
MaskCompose Automation (MCA) Program,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,GFD-CAD Dev,"Enterprise, Manufacturing, R&D, Technology & IT",,
MaskHoldEnterprise,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
MaskOrderServices,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Maskshop assignment,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,.net/SFDC (PTRF/SFDC),,,,,,,,,,,,,,RMG,"Enterprise, Manufacturing, R&D, Technology & IT",,
MDR-C,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,SFDC,,,,,,,,,,,,,,Casey Grant,"Enterprise, Manufacturing, R&D, Technology & IT",,
MDR-F,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,React/PHP,,,,,,,,,,,,,,Patrick Montgomery,"Enterprise, Manufacturing, R&D, Technology & IT",,
MEBES Data Automation,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,TOC: Jackie HII,"Enterprise, Manufacturing, R&D, Technology & IT",,
MHFileReceiver,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
MHReports_EAP,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
MHReportsBatch,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
MHSend,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
MHWebServices,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
MOM,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,React/PHP,,,,,,,,,,,,,,Patrick Montgomery,"Enterprise, Manufacturing, R&D, Technology & IT",,
OPPROC & Atom,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,TOC: Jackie HII,"Enterprise, Manufacturing, R&D, Technology & IT",,
ORC,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Suleni,"Enterprise, Manufacturing, R&D, Technology & IT",,
ORC violation (ph2),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Suleni,"Enterprise, Manufacturing, R&D, Technology & IT",,
PCIInfo - needed until TO 4.0 completes,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
PDB Atomic Unit (T/O 4.0 for 8SW),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,3,"Enterprise, Manufacturing, R&D, Technology & IT",,
PDKDRC,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,WRB: Marc Petri/CT Lim/Summer/GaryM/GlenM,"Enterprise, Manufacturing, R&D, Technology & IT",,
PLDAP (DRC & DFM),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,DTM: LOW Chin Ghee,"Enterprise, Manufacturing, R&D, Technology & IT",,
PLDAP (DSDP),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,TOC: Jackie HII,"Enterprise, Manufacturing, R&D, Technology & IT",,
PNFactory,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
PNMgr,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Jeff Stamm,"Enterprise, Manufacturing, R&D, Technology & IT",,
PODTracking,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Post-DP Services,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,Yemane Taye,"Enterprise, Manufacturing, R&D, Technology & IT",,
Prep/FEAR-validator (ph2),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/Calibre/SVRF,,,,,,,,,,,,,,Casey Grant,"Enterprise, Manufacturing, R&D, Technology & IT",,
ProcessView,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
ProcessViewCron,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
PRTS,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Casey Grant,"Enterprise, Manufacturing, R&D, Technology & IT",,
PRTS4,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Casey Grant,"Enterprise, Manufacturing, R&D, Technology & IT",,
PTRF,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,No,,,,,,,Robert Meyer,"Enterprise, Manufacturing, R&D, Technology & IT",,
PTRF|PTSR|FTRF Neutral File,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
REA_EAP,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
ReadyforDRCExecution,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
RegMergeInfo,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Jeff Stamm,"Enterprise, Manufacturing, R&D, Technology & IT",,
ReleaseTracker,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java/ReacJs,,,,,,,,,,,,,,Al U.,"Enterprise, Manufacturing, R&D, Technology & IT",,
RequestvsDBCheckStart(Design Vs DB Check),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
Self-Serve Guard-Ring (SSGR) System,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,GFD-CAD Dev,"Enterprise, Manufacturing, R&D, Technology & IT",,
Self-Serve SuperET (SSET) System,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,GFD-CAD Dev,"Enterprise, Manufacturing, R&D, Technology & IT",,
Sendata,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,TOC: Jackie HII,"Enterprise, Manufacturing, R&D, Technology & IT",,
SendData,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
SendDataBatch,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
SeqNoServices,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
SiD for 8SW,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,Stefan Schueler,"Enterprise, Manufacturing, R&D, Technology & IT",,
Submarine,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,React/PHP,,,,,,,,,,,,,,Patrick Montgomery,"Enterprise, Manufacturing, R&D, Technology & IT",,
Subscription,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,.net / Python,,,,,,,,,,,,,,Casey Grant,"Enterprise, Manufacturing, R&D, Technology & IT",,
SWIFT CAD Interface,5. Duplicate App,,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
Tape-In DB,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
Tapeout Recipe System (TRS),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,ReactJS/PHP,,,,,,,,,,,,,,Mike Dunn,"Enterprise, Manufacturing, R&D, Technology & IT",,
Tapeout Transfer Tool,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,,,,,,,,,,,,,,,Casey Grant,"Enterprise, Manufacturing, R&D, Technology & IT",,
TapeoutSubmission,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/TK,,,,,,,,,,,,,,Vincent LOH,"Enterprise, Manufacturing, R&D, Technology & IT",,
TEP,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,React/PHP,,,,,,,No,,,,,,,Patrick Montgomery,"Enterprise, Manufacturing, R&D, Technology & IT",,
TestDataMgr,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,L. Selvey,"Enterprise, Manufacturing, R&D, Technology & IT",,
TO 4.0 lib,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
ToolPortal,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,E. Besade,"Enterprise, Manufacturing, R&D, Technology & IT",,
Torpedo,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,PHP,,,,,,,,,,,,,,Patrick Montgomery,"Enterprise, Manufacturing, R&D, Technology & IT",,
TOS,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,React/PHP,,,,,,,,,,,,,,Patrick Montgomery,"Enterprise, Manufacturing, R&D, Technology & IT",,
TRFM,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,L. Selvey,"Enterprise, Manufacturing, R&D, Technology & IT",,
TRFM4,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Vijay,"Enterprise, Manufacturing, R&D, Technology & IT",,
Universal Mantis-DFM,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Colin Hui,"Enterprise, Manufacturing, R&D, Technology & IT",,
Universal Mantis-DFMART,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Stefan Roling,"Enterprise, Manufacturing, R&D, Technology & IT",,
Universal Mantis-DRC,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,Yes,,,,,,,WRB: Marc Petri/CT Lim/Summer/GaryM/GlenM,"Enterprise, Manufacturing, R&D, Technology & IT",,
Universal Mantis-ORC,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Python,,,,,,,,,,,,,,Suleni/McGowan,"Enterprise, Manufacturing, R&D, Technology & IT",,
Validator,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Tcl/Calibre/SVRF,,,,,,,,,,,,,,Sean Davis,"Enterprise, Manufacturing, R&D, Technology & IT",,
WebRDTS,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,Jeff Stamm,"Enterprise, Manufacturing, R&D, Technology & IT",,
Workflow (back-end),1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,net/SFD.,,,,,,,,,,,,,Alex,Casey G,"Enterprise, Manufacturing, R&D, Technology & IT",,
WorkRequest,1. Not Started,R&D,D2P,D2P,Tapeout,,,,,,,Java,,,,,,,,,,,,,,L. Selvey,"Enterprise, Manufacturing, R&D, Technology & IT",,
CMMS (Scheduler + checklist) for Facilities,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab7, Giga",Prod,"Fab7, Giga",Manufacturing,Equipment Management,Manufacturing,No,Computerized Maintenance Management System - Facilities,,Current,Replace,N:1 - consolidation,Q1'27,Q4'28,No, SAP S/4HANA,EAM, Replace with SAP S4 EAM,,,Jeff Hanan,Jeffrey Chong,"Manufacturing, Technology & IT",TRUE,TRUE
ADAPT-AI,2. WIP,R&D,No,DE - AI/ML,Corp,Corp,,,Yes,,No,"Tapout application to determine failures on design level, UPDM",,,,no change,,,,,,,,,,Srini Rangaswamy,Manufacturing,TRUE,TRUE
MRA,3. GTO Done,Manufacturing,"D2P, N","D2P, Fab Setup","Tapeout, Fab1, Fab8, Fab9",Both,"Fab1, Fab8, Fab9, Fab7",Manufacturing,Setup,Manufacturing,No,"Tcl/TK, Metrology & Litho Recipe Automation (integration with Reticle Mgt System, Universal Coordinate System, GMIW Yield)",,Nearing EOL,Invest ,,,,,,,"Migrate to cloud and modernize, consolidate DWM & UCS as well",,,Klaus Wiedemuth ,"Guthikonda, Pavan Kumar","Enterprise, Manufacturing, R&D, Technology & IT",TRUE,TRUE
ARMS (IP Usage Tracking),3. GTO Done,Enterprise,Yes,D2P,,Corp,,IP,IP usage tracking are to track & report library IP used in customer designs,,,,,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,Teamcenter,,It is homegrown app. All the required data needed for IP usage tracking will be available in Teamcente by Release 6 (needs integration from TapeOut as well). Dashboards needs to be built in Teamcenter (needs customization). To be assesed to see if Power BI addresses some needs.,,,Adarsh,JP,Enterprise,,
Common Platform Fab1 App,5. Duplicate App,,Delete,Customer Reporting,"Corp, Fab1, Giga",Corp,"Fab1, Giga",,,,,Corp applications Common platform for Fab 1 manufacturing data,,,,,,,,,,,,,,Xia Wan,"Manufacturing, Technology & IT",TRUE,TRUE
Common Platform Fab8 App,5. Duplicate App,,Delete,Customer Reporting,"Corp, Fab8, Giga",Corp,"Fab8, Giga",,,,,Corp applications Common platform for Fab 8 manufacturing data,,,,,,,,,,,,,,Xian Wan,"Manufacturing, Technology & IT",TRUE,TRUE
Aspera File Transfer,1. Not Started,Technology & IT,N,Customer Facing,Corp,Corp,,,,,,PDK files transfer with customers,,,,N:1 - consolidation,,,,,,,,,,DS,Enterprise,,
Aspera File Transfer App,5. Duplicate App,,N,Customer Facing,Corp,Corp,,,,,,PDK files transfer with customers,,,,N:1 - consolidation,,,,,,,,,Alex,DS,"Manufacturing, Technology & IT",TRUE,TRUE
AWS PDK,1. Not Started,Enterprise,Y,Customer Facing,Corp,Corp,,,,,,Upload/Download application,,,,N:1 - consolidation,,,,,,,,,,Baij/Win Huang,Enterprise,,
AWS PDK App,5. Duplicate App,,Y,Customer Facing,Corp,Corp,,,,,,Upload/Download application,,,,N:1 - consolidation,,,,,,,,,Alex,Baij/Win Huang,"Manufacturing, Technology & IT",TRUE,TRUE
GFV Portal,1. Not Started,Enterprise,Y,Customer Facing,Corp,Corp,Global,,,,,"Global Foundry View (GFV) portal for Order, WIP, Ship, Yield etc & Content Management",,,,1:1 - replacement,,,,,,,,,,Naveen Khana,Enterprise,,
GFV Portal App,5. Duplicate App,,Y,Customer Facing,Corp,Corp,Global,,,,,"Global Foundry View (GFV) portal for Order, WIP, Ship, Yield etc & Content Management",,,,1:1 - replacement,,,,,,,,,Alex,Naveen Khana,"Manufacturing, Technology & IT",TRUE,TRUE
Proto Kickoff,1. Not Started,,Y,Customer Facing,Corp,Corp,,,,,,Prototype Kickoff Checklist,,,,N:1 - consolidation,,,,,,,,,,Sumeet Sharma,Enterprise,,
Proto Kickoff App,5. Duplicate App,,Y,Customer Facing,Corp,Corp,,,,,,Prototype Kickoff Checklist,,,,N:1 - consolidation,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
PTS,1. Not Started,,Y,Customer Facing,Corp,Corp,,,,,,Prototype Tracking,,,,N:1 - consolidation,,,,,,,,,,Sumeet Sharma,Enterprise,,
PTS App,5. Duplicate App,,Y,Customer Facing,Corp,Corp,,,,,,Prototype Tracking,,,,N:1 - consolidation,,,,,,,,,Alex,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
GlobalConnect,1. Not Started,Technology & IT,N,Communication,Corp,Corp,,,,,,GlobalConnect Sites and GF developed applications running on Microsoft Sharepoint cloud,,,,no change,,,,,,,,,,Bernd Robel,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
SocialChorus,1. Not Started,,N,Communication,Corp,Corp,,,,,,Firstup ONEGF communication platform for employees,,,,,,,,,,,,,,Neel Banerjee,Enterprise,,
SocialChorus App,5. Duplicate App,,N,Communication,Corp,Corp,,,,,,Firstup ONEGF communication platform for employees,,,,,,,,,,,,,Alex,Neel Banerjee,"Manufacturing, Technology & IT",TRUE,TRUE
"Reporting ( Giga+, Fab7 and ASMView(turnkey) )",1. Not Started,,N,"Analytics, Mfg","Corp, Fab7, Giga",Corp,"Fab7, Giga",,,,,Web based Reporting,,,,,,,,,,,,,,"Holz, Hendrik","Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
MA/FEA Data Pillar,1. Not Started,,N,Analytics,Corp,Corp,,,,,,Transactional DB in the Cloud for Mfg and Fab Eff. Analytics,,,,,,,,,,,,,,Aung Thwin,"Enterprise, Manufacturing, Technology & IT",TRUE,TRUE
ML Platform (sageMaker?),1. Not Started,Technology & IT,N,Analytics,Corp,Corp,, ML Platform,,,,ML Platform,,,,,,,,,,,,,,,"Enterprise, Manufacturing, Technology & IT",,
MRA Config Generation,3. GTO Done,Manufacturing,D2P,D2P,Tapeout,Corp,"Fab1, Fab8, Fab9, Fab7",Manufacturing,Setup,Manufacturing,No,tcl/bash,,Nearing EOL,Invest ,N:1 - consolidation,,,,,,"related to d2p, consolidate along with TO flow consolidation",,,Klaus Wiedemuth ,"David Stashower, Vincent Loh, Ricardo Guiman","Enterprise, Manufacturing, R&D, Technology & IT",,
QMan,1. Not Started,R&D,No,D2P,Tapeout,,,,QMan = Dataprep Queue Management web interface. Tapeout org.,,,"From original IBM docu before GF (now Python?): MySQL database and RubyOnRails application for controlling Comp Litho job routing, quotas, priorities, pools, etc.  Intelligent layer on top of Dataprep System for controlling the day to day operations / workload in process.",,,,,,,,,,,,,,,"Enterprise, Manufacturing, R&D, Technology & IT",,
QueueServices,6. Not an App,Manufacturing,No,D2P,Tapeout,Corp,Fab9,Pre Fab,BTV Tapeout flow automation - planned to retire by D2P,Tapeout,No,Java,,Nearing EOL,Replace,1:0 - retirement,Q1'25,Q1'26,,D2P,D2P,to be retired as part of D2P R5,,,Peter Goerigk,,"Enterprise, Manufacturing, R&D, Technology & IT",,
Loftware,3. GTO Done,Manufacturing,No,M2O,"Corp, Fab9",Prod,Fab9,Post Fab,Fab internal Label Printing,Manufacturing,No,COTS Label printing,,Current,Hold,no change,,,,,,some usecases replaced by SAP potentially,,,Peter Goerigk,Bob McGary,"Manufacturing, Technology & IT",TRUE,TRUE
GEM-D-F9 (&10) incl loaders,3. GTO Done,Manufacturing,No,Analytics,"Corp, Fab9",Prod,Fab9,"Reporting, Analytics",Yield and engineering analysis,,No,GG Replication Staging for ETL to target DWHs (supporting GMIW/pDWH etc) - also used in FAB 9 in lieu of MDS eg is loading MDM/SDM/PHUB/BOM tables ,,Current,Invest ,no change,,,,,,consolidate with MDS ?,,,Andre Holfeld ,James Zeim,"Manufacturing, Technology & IT",,
TRACEEFP,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab8",Prod,Fab8,Manufacturing,"Equipment Management, tool matching on sensor data",Manufacturing,No,Equipment data collection,,Current,Retire,1:0 - retirement,,,No,,,matching is replaced by Shiny solution,,GF,Dirk Wollstein,Josh Haynes ,"Manufacturing, Technology & IT",TRUE,TRUE
LVI and FTE,1. Not Started,,Delete,,"Corp, Fab9",Corp,Fab9,,,,,,,,,,,,,,,,,,,,"Manufacturing, Technology & IT",TRUE,TRUE
MaskWIP,1. Not Started,,Delete,,"Corp, Fab9",Corp,Fab9,,,,,,,,,,,,,,,,,,,,"Manufacturing, Technology & IT",TRUE,TRUE
RMSWeb,3. GTO Done,Manufacturing,No, Manufacturing,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8",Manufacturing,Setup,Manufacturing,No, Web front end for RMS,,Current,Retire,1:N - replacement,Q1'27,,,"RMS-Camline, ECM",,implement functionality into RMS core product and ECM,,,Klaus Wiedemuth ,Amol Patil,"Manufacturing, Technology & IT",TRUE,TRUE
CyberSafe,3. GTO Done,Technology & IT,N,Equipment Management,,,"Fab8,Fab9",Access & Authentication,Single sign on support for SAP ECC,,No,User authentication,,Current,Hold,1:0 - retirement,,,, SAP S/4HANA,EAM,Replace with SAP S4 authentication and single sign on,,GF,Jeff Hanan,Selva,"Manufacturing, Technology & IT",,
OpenText ECM,3. GTO Done,Technology & IT, N,, Corp,Corp, ,,,IT,Potential, Non-product document management,,Current,Invest ,0:1 - new system,,,,,,,,,Alex,,"Enterprise, Manufacturing, Technology & IT",,
DMS,3. GTO Done,Manufacturing,No,Equipment Management,"Corp, Fab9",Prod,Fab9,Quality,Defect Management System: Takes CFM defect data from tool scans for review and classification.,Manufacturing,No,Architecture Diagrams,,Legacy,Hold,no change,,,,,,ML-based image classification with Shiny models. Maybe similar purpose as Fab 7/GIGA's LRM.,,,Detlef Pabst,Jorge Wolynski,"Manufacturing, Technology & IT",TRUE,TRUE
Deployment Page ,3. GTO Done,Manufacturing,No,,"Corp, Fab9",Corp,Fab9,,,,,Reporting,,Legacy,Hold,no change,,,,,,No change. 200 mm GUI not focus for next few years.,,,Jimmy Goh,Henry Antonovich,"Manufacturing, Technology & IT",,
Fab9 Lot Start UI,3. GTO Done,Manufacturing,Yes,M2O,"Corp, Fab9",Prod,Fab9,FAB,,Manufacturing,No,,,Nearing EOL,Replace,1:N - replacement,Q1'27,Q4'28,,SAP S4,M2O,all lot starts expeced to be managed by S4 M2O R6,,,Peter Goerigk,Tim Barritt,"Manufacturing, Technology & IT",TRUE,TRUE
Litho Throughput Indicator (LTI),3. GTO Done,Manufacturing,No,Manufacturing,"Corp, Fab1, Fab7",Corp,"Fab1, Fab 8 ",Manufacturing,IE app to identify bottleneck modules by track flows within Litho cells ,IE App,No,"Perl web UI reading RTD, TEL Ingenio data, and ASML scanner files.",,Legacy,Assess,,,,,,,"Still used by Fab 1 IE. No clear replacement strategy by ATC. Retired in Fab 7, as declared as not needed by IE. Looks outdated in Fab 8 (unclear usage). ",,,Detlef Pabst,F1: Stefan Hempel,"Manufacturing, Technology & IT",TRUE,TRUE
